Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
also	none	none	none	none	none
amazing	good	none	good	good	good
anger	bad	bad	bad	bad	bad
apathetic	bad	bad	bad	bad	bad
appalling	bad	bad	bad	bad	bad
arancini	none	none	none	none	none
asked	none	none	none	none	none
atrocious	bad	bad	bad	bad	bad
attitude	bad	none	none	none	none
awesome	good	good	good	good	good
awful	bad	bad	bad	bad	bad
awsome	good	good	good	good	good
back	none	none	none	none	none
bad	bad	bad	bad	bad	bad
badly	bad	bad	bad	bad	bad
best	good	good	good	good	good
bomb	none	bad	none	none	bad
brisket	none	none	none	none	none
came	none	none	none	none	none
chilaquiles	none	none	none	none	none
chilis	none	none	none	none	none
chocolatey	none	none	none	none	none
could	none	none	none	none	none
crappy	bad	bad	bad	bad	bad
crust	none	none	none	none	none
curse	none	bad	bad	bad	bad
decent	good	good	good	none	good
definitely	none	none	none	none	none
delicious	good	good	good	good	good
delightful	good	good	good	good	good
disappointing	bad	bad	bad	bad	bad
disgraceful	bad	bad	bad	bad	bad
disgusting	bad	bad	bad	bad	bad
disrespectful	bad	bad	bad	bad	bad
divey	none	none	none	none	none
dreadful	bad	bad	bad	bad	bad
eat	none	none	none	none	none
est	none	none	none	none	none
even	none	none	none	none	none
excellent	good	good	good	good	good
exceptional	good	none	good	good	good
experience	none	none	none	none	none
fabulous	good	good	good	good	good
fairly_priced	none	good	good	good	none
fantastic	good	good	good	good	good
fast	good	good	good	good	good
first	none	none	none	none	none
flavorful	good	good	good	good	good
flourless	none	none	none	none	none
food	none	none	none	none	none
friendly	good	good	good	good	good
frustrating	bad	bad	bad	bad	bad
get	none	none	none	none	none
glazed	none	none	none	none	none
go	none	none	none	none	none
good	good	good	good	good	good
got	none	none	none	none	none
great	good	good	good	good	good
great_taste	good	good	good	good	good
gyros	none	none	none	none	none
heavenly	good	good	good	good	good
highly_recommend	good	good	good	good	good
homemade	good	none	good	good	none
horrendous	bad	bad	bad	bad	bad
horrible	bad	bad	bad	bad	bad
horribly	bad	bad	bad	bad	bad
horrid	bad	bad	bad	bad	bad
horrific	bad	bad	bad	bad	bad
hush_puppies	none	none	none	none	none
inconsiderate	bad	bad	bad	bad	bad
incredible	good	none	good	good	none
irritating	bad	bad	bad	bad	bad
know	none	none	none	none	none
like	none	good	none	none	good
location	none	none	none	none	none
lots	none	none	none	none	none
lousy	bad	bad	bad	bad	bad
marvelous	good	good	good	good	good
meal	none	none	none	none	none
mediocre	none	none	none	none	none
menu	none	none	none	none	none
minutes	none	none	none	none	none
moderately_priced	none	none	good	none	none
nasty	bad	bad	bad	bad	bad
never	bad	bad	none	none	none
nice	good	good	good	good	good
noodle	none	none	none	none	none
one	none	none	none	none	none
order	none	none	none	none	none
ordered	none	none	none	none	none
outstanding	good	good	good	good	good
pathetic	bad	bad	bad	bad	bad
perfect	good	good	good	good	good
phenomenal	good	good	good	good	good
piss	bad	bad	bad	bad	bad
pizza	none	none	none	none	none
place	none	none	none	none	none
poor	bad	bad	bad	bad	bad
poor_quality	bad	bad	bad	bad	bad
poorly	bad	bad	bad	bad	bad
portions	none	none	none	none	none
pretty	good	none	none	none	good
prices	none	none	none	none	none
quesadillas	none	none	none	none	none
ratio	none	none	none	none	none
really	none	none	none	none	none
reasonable	good	good	good	none	good
restaurant	none	none	none	none	none
rude	bad	bad	bad	bad	bad
said	none	none	none	none	none
se	none	none	none	none	none
selection	none	none	none	none	none
service	none	none	none	none	none
sevice	none	none	none	none	none
shitty	bad	bad	bad	bad	bad
shoddy	bad	bad	bad	bad	bad
shortrib	none	none	none	none	none
shoutout	none	none	good	good	none
sickening	bad	bad	bad	bad	bad
sooo	none	none	none	none	none
splendid	good	good	good	good	good
staff	none	none	none	none	none
stewed	none	none	none	none	none
strip	none	none	none	none	none
sucked	bad	bad	bad	bad	bad
sucks	bad	bad	bad	bad	bad
superb	good	good	good	good	good
sushi	none	none	none	none	none
table	none	none	none	none	none
tad	none	none	none	none	none
tastes	none	none	none	none	none
tasty	good	good	good	good	good
terrible	bad	bad	bad	bad	bad
terrific	good	good	good	good	good
thru	none	none	none	none	none
time	none	none	none	none	none
tremendous	good	none	good	good	good
try	none	none	none	none	none
two	none	none	none	none	none
unapologetic	bad	bad	bad	bad	bad
unforgivable	bad	bad	bad	bad	bad
unhappy	bad	bad	bad	bad	bad
unpleasant	bad	bad	bad	bad	bad
us	none	none	none	none	none
value	none	none	none	none	none
ve	none	none	none	none	none
very	none	none	none	none	none
wait	none	none	none	none	none
wanted	none	good	good	none	good
wonderful	good	good	good	good	good
wonderfully	good	good	good	good	good
worse	bad	bad	bad	bad	bad
worst	bad	bad	bad	bad	bad
worst_mcdonalds	none	bad	bad	bad	bad
would	none	none	none	none	none
yumm	good	good	good	good	good
yummy	good	good	good	good	good
